654.9389 	EXP 	New trial (rep=0, index=11): OrderedDict([('cue', 'stimsday2details/C19.png')])
654.9685 	EXP 	cueImage: autoDraw = False
654.9685 	EXP 	text: autoDraw = False
654.9685 	EXP 	cueImage: image = 'stimsday2details/C19.png'
654.9685 	EXP 	cueImage: autoDraw = True
654.9685 	EXP 	text: autoDraw = True
656.0985 	DATA 	Keypress: equal
657.6023 	DATA 	Keypress: equal
659.1025 	DATA 	Keypress: equal
660.6031 	DATA 	Keypress: equal
662.1022 	DATA 	Keypress: equal
663.6026 	DATA 	Keypress: equal
665.1029 	DATA 	Keypress: equal
666.6012 	DATA 	Keypress: equal
668.0987 	DATA 	Keypress: equal
669.6020 	DATA 	Keypress: equal
671.0976 	DATA 	Keypress: equal
672.5983 	DATA 	Keypress: equal
674.1027 	DATA 	Keypress: equal
675.5985 	DATA 	Keypress: equal
677.0976 	DATA 	Keypress: equal
678.5984 	DATA 	Keypress: equal
680.1022 	DATA 	Keypress: equal
681.5971 	DATA 	Keypress: equal
683.0983 	DATA 	Keypress: equal
684.5984 	DATA 	Keypress: equal
686.0978 	DATA 	Keypress: equal
687.5973 	DATA 	Keypress: equal
689.0976 	DATA 	Keypress: equal
690.5982 	DATA 	Keypress: equal
692.0977 	DATA 	Keypress: equal
693.5975 	DATA 	Keypress: equal
695.0976 	DATA 	Keypress: equal
696.5977 	DATA 	Keypress: equal
698.1023 	DATA 	Keypress: equal
699.5972 	DATA 	Keypress: equal
701.0897 	DATA 	Keypress: equal
702.6064 	DATA 	Keypress: equal
704.1070 	DATA 	Keypress: equal
705.6063 	DATA 	Keypress: equal
707.0974 	DATA 	Keypress: equal
708.5972 	DATA 	Keypress: equal
709.3185 	DATA 	Keypress: space
709.5290 	EXP 	cueImage: autoDraw = False
709.5290 	EXP 	text: autoDraw = False
709.8026 	EXP 	window1: mouseVisible = True
