,sub_num,wed_id,onset_recall2,offset_recall2,wed_class,wed_view_num,onset_videos,offset_videos,path
468,44,2,0,27,N,6,591,663,NA
469,44,22,27,66,S,0,12,90,SA
470,44,23,66,92,N,5,495,567,NA
471,44,19,92,115,N,10,976,1048,NA
472,44,29,115,151,S,4,398,471,SB
473,44,6,151,180,S,7,687,759,SB
474,44,20,180,215,N,1,111,183,NB
475,44,34,215,245,S,8,783,856,SA
476,44,28,245,265,S,3,303,375,SB
477,44,1,265,294,N,9,879,952,NB
478,44,38,294,312,S,11,1074,1152,SA
479,44,17,312,-1,N,2,207,279,NB
