,sub_num,wed_id,onset_TR,offset_TR,wed_class
325,32,2,21,41,S
326,32,34,41,60,N
327,32,23,60,77,N
328,32,6,77,103,S
329,32,29,103,115,S
330,32,28,115,130,N
331,32,20,130,145,S
332,32,17,145,160,N
333,32,38,160,179,S
334,32,19,179,191,N
335,32,22,191,-1,S
336,33,22,0,40,S
337,33,19,40,83,S
338,33,2,83,150,N
339,33,28,150,213,N
340,33,6,213,254,S
341,33,17,254,288,S
342,33,29,288,325,N
343,33,34,325,371,S
344,33,38,371,403,N
345,33,23,403,443,S
346,33,1,443,478,N
347,33,20,478,-1,N
348,34,28,0,37,S
349,34,22,37,96,S
350,34,29,96,135,N
351,34,19,135,190,N
352,34,23,190,234,S
353,34,38,234,278,S
354,34,6,278,315,N
355,34,2,315,366,N
356,34,34,366,411,S
357,34,20,411,444,S
358,34,1,444,483,N
359,34,17,483,-1,N
360,35,17,0,48,N
361,35,1,48,119,S
362,35,34,119,181,N
363,35,2,181,243,S
364,35,20,243,312,S
365,35,38,312,382,N
366,35,23,382,427,N
367,35,6,427,487,S
368,35,22,487,548,S
369,35,29,548,632,N
370,35,19,632,696,S
371,35,28,696,-1,N
372,36,22,0,26,S
373,36,23,26,45,S
374,36,38,45,65,N
375,36,28,65,96,N
376,36,29,96,134,N
377,36,19,134,171,N
378,36,20,171,217,S
379,36,6,217,252,S
380,36,34,252,292,S
381,36,2,292,317,S
382,36,1,317,361,N
383,36,17,361,-1,N
384,37,22,0,34,
385,37,29,34,94,
386,37,2,94,130,
387,37,23,130,182,
388,37,17,182,246,
389,37,6,246,298,
390,37,1,298,339,
391,37,19,339,428,
392,37,20,428,523,
393,37,38,523,584,
394,37,34,584,644,
395,37,28,644,-1,
396,38,6,0,18,N
397,38,2,18,40,S
398,38,34,40,67,S
399,38,17,67,87,N
400,38,28,87,113,N
401,38,38,113,133,S
402,38,23,133,146,S
403,38,20,146,178,S
404,38,22,178,200,S
405,38,19,200,229,N
406,38,29,229,250,N
407,38,1,250,-1,N
408,39,22,0,36,
409,39,1,36,60,
410,39,17,60,89,
411,39,19,89,110,
412,39,28,110,128,
413,39,23,128,160,
414,39,6,160,175,
415,39,38,175,192,
416,39,34,192,216,
417,39,2,216,234,
418,39,29,234,254,
419,39,20,254,-1,
420,40,23,0,33,S
421,40,22,33,58,S
422,40,19,58,81,S
423,40,34,81,103,N
424,40,6,103,122,S
425,40,20,122,138,S
426,40,28,138,168,N
427,40,38,168,187,N
428,40,17,187,214,S
429,40,2,214,241,N
430,40,29,241,271,N
431,40,1,271,-1,N
432,41,20,0,38,S
433,41,19,38,64,N
434,41,6,64,85,N
435,41,28,85,117,N
436,41,38,117,135,S
437,41,1,135,164,N
438,41,2,164,189,S
439,41,22,189,225,N
440,41,23,225,246,S
441,41,29,246,282,N
442,41,17,282,304,S
443,41,34,304,-1,S
444,42,29,0,27,S
445,42,19,27,56,N
446,42,20,56,91,S
447,42,6,91,115,N
448,42,22,115,142,N
449,42,2,142,167,N
450,42,23,167,194,S
451,42,1,194,229,N
452,42,34,229,257,S
453,42,28,257,279,N
454,42,17,279,300,S
455,42,38,300,-1,S
456,43,17,0,69,N
457,43,38,69,150,N
458,43,2,150,242,S
459,43,19,242,332,N
460,43,20,332,416,S
461,43,1,416,501,S
462,43,6,501,572,N
463,43,34,572,653,S
464,43,29,653,748,N
465,43,23,748,818,N
466,43,22,818,910,S
467,43,28,910,-1,S
468,44,2,0,27,N
469,44,22,27,66,S
470,44,23,66,92,N
471,44,19,92,115,N
472,44,29,115,151,S
473,44,6,151,180,S
474,44,20,180,215,N
475,44,34,215,245,S
476,44,28,245,265,S
477,44,1,265,294,N
478,44,38,294,312,S
479,44,17,312,-1,N
